id,name,category,description,technical_summary,attacker_interest,exposure_level,business_risk,risk_score,confidence,severity,mitre,attack_vectors,enumeration_methods,misconfigurations,detection_methods,recommended_mitigations,references,tags,metadata,ports,common_products,cves
EME-NET-011,IMAP,Email,"Mail retrieval protocol allowing synchronized mailbox access; cleartext unless wrapped in TLS (IMAPS). Standard port(s): 143/tcp. Common implementations: Dovecot, Courier, Microsoft Exchange.",Mail retrieval protocol allowing synchronized mailbox access; cleartext unless wrapped in TLS (IMAPS).,"Cleartext mailbox credentials and full mailbox content, including historical email, if intercepted or brute-forced.",Medium,"Moderate risk, typically requiring an additional misconfiguration or chained weakness to cause material impact.",50,76,medium,"{""tactics"": [""Collection"", ""Credential Access""], ""techniques"": [{""id"": ""T1110"", ""name"": ""Brute Force""}, {""id"": ""T1114"", ""name"": ""Email Collection""}]}","[""Cleartext credential sniffing"", ""Credential brute-forcing/password spraying""]","[""Banner grab for server/version"", ""Auth-method enumeration""]","[""Cleartext IMAP exposed instead of IMAPS"", ""No brute-force lockout policy""]","[""Monitor for repeated failed IMAP logins"", ""Alert on logins from unusual geographies""]","[""Disable plaintext IMAP in favor of IMAPS (993)"", ""Enforce MFA and lockout policies""]","[{""source"": ""MITRE ATT&CK"", ""url"": ""https://attack.mitre.org/techniques/T1110/""}, {""source"": ""MITRE ATT&CK"", ""url"": ""https://attack.mitre.org/techniques/T1114/""}, {""source"": ""IANA Service Name and Transport Protocol Port Number Registry"", ""url"": ""https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xhtml""}]","[""cleartext"", ""email"", ""legacy""]","{""created_by"": ""CyberEDT"", ""dataset"": ""EME"", ""verified"": true, ""version"": ""1.0""}",143/tcp,"[""Dovecot"", ""Courier"", ""Microsoft Exchange""]",[]
EME-NET-012,SNMP,Network Management,"Device monitoring/management protocol. Versions 1/2c rely on cleartext 'community strings' that are frequently left at defaults. Standard port(s): 161/udp. Common implementations: net-snmp, vendor router/switch SNMP agents.",Device monitoring/management protocol. Versions 1/2c rely on cleartext 'community strings' that are frequently left at defaults.,"Default community strings (e.g. 'public'/'private') expose device configuration, routing tables, and sometimes allow write access to reconfigure devices.",High,"Meaningful risk of credential theft, data exposure, or lateral movement if exploited or left misconfigured.",75,79,high,"{""tactics"": [""Discovery"", ""Reconnaissance""], ""techniques"": [{""id"": ""T1046"", ""name"": ""Network Service Discovery""}, {""id"": ""T1590"", ""name"": ""Gather Victim Network Information""}]}","[""Default community-string guessing ('public'/'private')"", ""MIB walk to enumerate device configuration and network topology"", ""Write-access abuse to reconfigure devices if RW community is exposed""]","[""`snmpwalk` against common community strings"", ""SNMP version fingerprinting""]","[""Default or weak community strings"", ""SNMPv1/v2c used instead of SNMPv3 (no encryption/auth)"", ""Read-write community exposed externally""]","[""Alert on SNMP queries from external/unexpected sources"", ""Monitor for repeated community-string guessing attempts""]","[""Migrate to SNMPv3 with authentication and encryption"", ""Change default community strings"", ""Restrict SNMP access to management network only""]","[{""source"": ""MITRE ATT&CK"", ""url"": ""https://attack.mitre.org/techniques/T1046/""}, {""source"": ""MITRE ATT&CK"", ""url"": ""https://attack.mitre.org/techniques/T1590/""}, {""source"": ""IANA Service Name and Transport Protocol Port Number Registry"", ""url"": ""https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xhtml""}]","[""default-credentials"", ""network-management""]","{""created_by"": ""CyberEDT"", ""dataset"": ""EME"", ""verified"": true, ""version"": ""1.0""}",161/udp,"[""net-snmp"", ""vendor router/switch SNMP agents""]",[]
EME-NET-013,LDAP,Directory Services,"Directory service protocol for authentication and object lookup; cleartext unless using LDAPS or STARTTLS. Standard port(s): 389/tcp. Common implementations: Microsoft Active Directory, OpenLDAP.",Directory service protocol for authentication and object lookup; cleartext unless using LDAPS or STARTTLS.,"Anonymous binds can leak the entire directory structure — usernames, group membership, org layout — which fuels password-spraying and privilege-mapping attacks.",High,"Meaningful risk of credential theft, data exposure, or lateral movement if exploited or left misconfigured.",72,79,high,"{""tactics"": [""Credential Access"", ""Discovery""], ""techniques"": [{""id"": ""T1087.002"", ""name"": ""Account Discovery: Domain Account""}, {""id"": ""T1069.002"", ""name"": ""Permission Groups Discovery: Domain Groups""}, {""id"": ""T1110.003"", ""name"": ""Brute Force: Password Spraying""}]}","[""Anonymous bind enumeration of users/groups/OUs"", ""Credential brute-forcing/password spraying against directory accounts"", ""Cleartext credential interception without LDAPS/STARTTLS""]","[""Anonymous bind and directory tree enumeration"", ""User/group enumeration via LDAP queries""]","[""Anonymous binds enabled"", ""LDAP exposed to the internet without LDAPS"", ""Weak password policy in the backing directory""]","[""Alert on anonymous LDAP binds"", ""Monitor for high-volume directory queries"", ""Track password-spray patterns against AD accounts""]","[""Disable anonymous binds"", ""Require LDAPS/StartTLS"", ""Never expose domain controllers directly to the internet"", ""Enforce strong password/lockout policy""]","[{""source"": ""MITRE ATT&CK"", ""url"": ""https://attack.mitre.org/techniques/T1087/002/""}, {""source"": ""MITRE ATT&CK"", ""url"": ""https://attack.mitre.org/techniques/T1069/002/""}, {""source"": ""MITRE ATT&CK"", ""url"": ""https://attack.mitre.org/techniques/T1110/003/""}, {""source"": ""IANA Service Name and Transport Protocol Port Number Registry"", ""url"": ""https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xhtml""}]","[""active-directory"", ""directory-services""]","{""created_by"": ""CyberEDT"", ""dataset"": ""EME"", ""verified"": true, ""version"": ""1.0""}",389/tcp,"[""Microsoft Active Directory"", ""OpenLDAP""]",[]
EME-NET-014,HTTPS,Web,"Encrypted web traffic. Transport is encrypted, but the application, TLS configuration, and certificate management still carry real risk. Standard port(s): 443/tcp. Common implementations: Apache HTTP Server, Nginx, Microsoft IIS, various web app frameworks.","Encrypted web traffic. Transport is encrypted, but the application, TLS configuration, and certificate management still carry real risk.","Same application-layer attack surface as HTTP, plus TLS misconfiguration (weak ciphers, expired/self-signed certs) that can undermine the encryption itself.",Medium,"Moderate risk, typically requiring an additional misconfiguration or chained weakness to cause material impact.",50,79,medium,"{""tactics"": [""Initial Access"", ""Reconnaissance""], ""techniques"": [{""id"": ""T1190"", ""name"": ""Exploit Public-Facing Application""}, {""id"": ""T1596.002"", ""name"": ""Search Open Technical Databases: WHOIS""}]}","[""Exploitation of vulnerable web applications/CMS/plugins behind TLS"", ""TLS misconfiguration abuse (weak ciphers, protocol downgrade)"", ""Admin/management panel discovery and brute force""]","[""TLS/cipher configuration scanning"", ""Certificate inspection (SANs often reveal internal hostnames)"", ""Technology fingerprinting"", ""Directory/endpoint brute-forcing""]","[""Outdated TLS versions/weak cipher suites enabled"", ""Expired or self-signed certificates in production"", ""Verbose errors or exposed admin panels behind TLS""]","[""WAF monitoring for known exploit payloads"", ""Certificate expiry/transparency-log monitoring"", ""TLS configuration scanning cadence""]","[""Enforce modern TLS versions/ciphers"", ""Automate certificate renewal"", ""Keep frameworks/CMS/plugins patched"", ""Deploy a WAF""]","[{""source"": ""MITRE ATT&CK"", ""url"": ""https://attack.mitre.org/techniques/T1190/""}, {""source"": ""MITRE ATT&CK"", ""url"": ""https://attack.mitre.org/techniques/T1596/002/""}, {""source"": ""IANA Service Name and Transport Protocol Port Number Registry"", ""url"": ""https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xhtml""}]","[""encrypted"", ""web""]","{""created_by"": ""CyberEDT"", ""dataset"": ""EME"", ""verified"": true, ""version"": ""1.0""}",443/tcp,"[""Apache HTTP Server"", ""Nginx"", ""Microsoft IIS"", ""various web app frameworks""]",[]
EME-NET-015,SMB (Server Message Block),File Sharing,"Windows file/printer sharing protocol. Historically one of the most exploited internet-facing services (WannaCry, NotPetya). Standard port(s): 445/tcp. Common implementations: Microsoft SMB stack, Samba.","Windows file/printer sharing protocol. Historically one of the most exploited internet-facing services (WannaCry, NotPetya).","Unauthenticated RCE potential on unpatched hosts, plus share enumeration and credential relay attacks (NTLM relay) on properly patched ones.",Critical,"Direct path to full host/data compromise, ransomware deployment, or regulatory-scope data breach if exploited.",95,92,critical,"{""tactics"": [""Collection / Lateral Movement"", ""Discovery"", ""Lateral Movement""], ""techniques"": [{""id"": ""T1021.002"", ""name"": ""Remote Services: SMB/Windows Admin Shares""}, {""id"": ""T1135"", ""name"": ""Network Share Discovery""}, {""id"": ""T1210"", ""name"": ""Exploitation of Remote Services""}, {""id"": ""T1557.001"", ""name"": ""Adversary-in-the-Middle: LLMNR/NBT-NS Poisoning and SMB Relay""}]}","[""Exploitation of unpatched SMBv1 remote code execution flaws"", ""Null session / anonymous share enumeration"", ""NTLM relay attacks"", ""Credential brute-forcing against SMB auth""]","[""Null session share enumeration (`smbclient -L`, `enum4linux`)"", ""SMB version/dialect fingerprinting""]","[""SMB (especially SMBv1) exposed directly to the internet"", ""Null sessions or guest access enabled"", ""SMB signing not enforced, enabling relay attacks""]","[""Alert on any inbound SMB from external IPs (should never happen)"", ""Monitor for null-session enumeration attempts"", ""Track SMB relay/NTLM relay indicators""]","[""Never expose SMB directly to the internet"", ""Disable SMBv1"", ""Enforce SMB signing"", ""Patch promptly against known SMB RCE vulnerabilities""]","[{""source"": ""MITRE ATT&CK"", ""url"": ""https://attack.mitre.org/techniques/T1021/002/""}, {""source"": ""MITRE ATT&CK"", ""url"": ""https://attack.mitre.org/techniques/T1135/""}, {""source"": ""MITRE ATT&CK"", ""url"": ""https://attack.mitre.org/techniques/T1210/""}, {""source"": ""MITRE ATT&CK"", ""url"": ""https://attack.mitre.org/techniques/T1557/001/""}, {""source"": ""NVD"", ""url"": ""https://nvd.nist.gov/vuln/detail/CVE-2017-0144""}, {""source"": ""IANA Service Name and Transport Protocol Port Number Registry"", ""url"": ""https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xhtml""}]","[""file-sharing"", ""windows"", ""wormable""]","{""created_by"": ""CyberEDT"", ""dataset"": ""EME"", ""verified"": true, ""version"": ""1.0""}",445/tcp,"[""Microsoft SMB stack"", ""Samba""]","[""CVE-2017-0144""]"
EME-NET-016,Syslog,Logging,"Centralized logging protocol; UDP transport is unauthenticated and unencrypted by default. Standard port(s): 514/udp. Common implementations: rsyslog, syslog-ng.",Centralized logging protocol; UDP transport is unauthenticated and unencrypted by default.,Log injection can pollute SIEM data or hide malicious activity; exposed syslog can also leak operational/security details.,Medium,"Moderate risk, typically requiring an additional misconfiguration or chained weakness to cause material impact.",50,76,medium,"{""tactics"": [""Defense Evasion""], ""techniques"": [{""id"": ""T1070"", ""name"": ""Indicator Removal""}]}","[""Log injection/spoofing (no source authentication on UDP syslog)"", ""Information disclosure from intercepted log traffic""]","[""Port scan / banner behavior confirmation""]","[""Syslog receiver exposed to untrusted networks"", ""No TLS-based syslog (RFC 5425) in use for sensitive logs""]","[""Monitor for anomalous or malformed syslog message volume""]","[""Restrict syslog receivers to trusted internal sources"", ""Use TLS-based syslog for sensitive environments""]","[{""source"": ""MITRE ATT&CK"", ""url"": ""https://attack.mitre.org/techniques/T1070/""}, {""source"": ""IANA Service Name and Transport Protocol Port Number Registry"", ""url"": ""https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xhtml""}]","[""infrastructure"", ""logging""]","{""created_by"": ""CyberEDT"", ""dataset"": ""EME"", ""verified"": true, ""version"": ""1.0""}",514/udp,"[""rsyslog"", ""syslog-ng""]",[]
EME-NET-017,LDAPS,Directory Services,"TLS-encrypted LDAP. Encrypted transport, but directory-level misconfigurations (anonymous binds, weak policy) still apply. Standard port(s): 636/tcp. Common implementations: Microsoft Active Directory, OpenLDAP.","TLS-encrypted LDAP. Encrypted transport, but directory-level misconfigurations (anonymous binds, weak policy) still apply.",Same directory-enumeration value as LDAP once authenticated; TLS configuration itself can also be a weak point.,Medium,"Moderate risk, typically requiring an additional misconfiguration or chained weakness to cause material impact.",50,79,medium,"{""tactics"": [""Credential Access"", ""Discovery""], ""techniques"": [{""id"": ""T1087.002"", ""name"": ""Account Discovery: Domain Account""}, {""id"": ""T1110.003"", ""name"": ""Brute Force: Password Spraying""}]}","[""Directory enumeration once bound (anonymous or credentialed)"", ""Password spraying against directory accounts"", ""TLS misconfiguration abuse""]","[""Bind testing (anonymous/credentialed)"", ""TLS/cipher configuration scanning""]","[""Anonymous binds still permitted despite TLS"", ""Weak TLS configuration on the LDAPS listener""]","[""Monitor for anonymous binds and password-spray patterns""]","[""Disable anonymous binds"", ""Enforce strong TLS configuration"", ""Never expose domain controllers directly to the internet""]","[{""source"": ""MITRE ATT&CK"", ""url"": ""https://attack.mitre.org/techniques/T1087/002/""}, {""source"": ""MITRE ATT&CK"", ""url"": ""https://attack.mitre.org/techniques/T1110/003/""}, {""source"": ""IANA Service Name and Transport Protocol Port Number Registry"", ""url"": ""https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xhtml""}]","[""active-directory"", ""directory-services"", ""encrypted""]","{""created_by"": ""CyberEDT"", ""dataset"": ""EME"", ""verified"": true, ""version"": ""1.0""}",636/tcp,"[""Microsoft Active Directory"", ""OpenLDAP""]",[]
EME-NET-018,rsync Daemon,File Sharing,File synchronization service; the standalone rsync daemon mode can run without any authentication. Standard port(s): 873/tcp. Common implementations: rsync.,File synchronization service; the standalone rsync daemon mode can run without any authentication.,Unauthenticated rsync modules can expose entire filesystem trees for reading or writing.,High,"Meaningful risk of credential theft, data exposure, or lateral movement if exploited or left misconfigured.",75,76,high,"{""tactics"": [""Exfiltration"", ""Reconnaissance""], ""techniques"": [{""id"": ""T1595"", ""name"": ""Active Scanning""}, {""id"": ""T1048"", ""name"": ""Exfiltration Over Alternative Protocol""}]}","[""Anonymous access to unauthenticated rsync modules"", ""Data exfiltration or malicious file write to exposed modules""]","[""`rsync rsync://host` module listing""]","[""rsync daemon running with no authentication configured"", ""Write-enabled anonymous modules""]","[""Alert on unauthenticated rsync module connections from external hosts""]","[""Require authentication for rsync modules"", ""Restrict rsync daemon access by IP/firewall"", ""Prefer rsync-over-SSH instead of standalone daemon mode""]","[{""source"": ""MITRE ATT&CK"", ""url"": ""https://attack.mitre.org/techniques/T1595/""}, {""source"": ""MITRE ATT&CK"", ""url"": ""https://attack.mitre.org/techniques/T1048/""}, {""source"": ""IANA Service Name and Transport Protocol Port Number Registry"", ""url"": ""https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xhtml""}]","[""file-sharing"", ""unauthenticated""]","{""created_by"": ""CyberEDT"", ""dataset"": ""EME"", ""verified"": true, ""version"": ""1.0""}",873/tcp,"[""rsync""]",[]
EME-NET-019,IPP / CUPS Printing,Print Services,"Internet Printing Protocol service used by CUPS for network print management. Standard port(s): 631/tcp,udp. Common implementations: CUPS.",Internet Printing Protocol service used by CUPS for network print management.,Historically vulnerable to remote code execution and used for reflective DDoS when exposed to the internet.,Medium,"Moderate risk, typically requiring an additional misconfiguration or chained weakness to cause material impact.",50,76,medium,"{""tactics"": [""Initial Access""], ""techniques"": [{""id"": ""T1190"", ""name"": ""Exploit Public-Facing Application""}]}","[""Exploitation of known CUPS/IPP RCE and DoS vulnerabilities"", ""UDP-based amplification/reflection abuse""]","[""Banner/version fingerprinting"", ""Printer/queue enumeration via IPP""]","[""CUPS management interface exposed to the internet"", ""Outdated CUPS version with known CVEs""]","[""Alert on inbound IPP/CUPS traffic from external sources""]","[""Restrict CUPS to the local/internal network"", ""Keep CUPS patched"", ""Disable network printing exposure to the internet""]","[{""source"": ""MITRE ATT&CK"", ""url"": ""https://attack.mitre.org/techniques/T1190/""}, {""source"": ""IANA Service Name and Transport Protocol Port Number Registry"", ""url"": ""https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xhtml""}]","[""print-services""]","{""created_by"": ""CyberEDT"", ""dataset"": ""EME"", ""verified"": true, ""version"": ""1.0""}","631/tcp,udp","[""CUPS""]",[]
EME-NET-020,MS-RPC Endpoint Mapper,Legacy RPC,Windows RPC endpoint mapper used to locate other RPC services (often a precursor to SMB/DCOM attacks). Standard port(s): 135/tcp. Common implementations: Microsoft RPC/DCOM stack.,Windows RPC endpoint mapper used to locate other RPC services (often a precursor to SMB/DCOM attacks).,"Reveals which RPC-based Windows services are running, aiding lateral movement and further exploitation planning.",High,"Meaningful risk of credential theft, data exposure, or lateral movement if exploited or left misconfigured.",72,76,high,"{""tactics"": [""Discovery"", ""Lateral Movement""], ""techniques"": [{""id"": ""T1046"", ""name"": ""Network Service Discovery""}, {""id"": ""T1021.003"", ""name"": ""Remote Services: Distributed Component Object Model""}]}","[""RPC service enumeration"", ""DCOM-based lateral movement staging""]","[""`rpcdump`/`rpcclient` endpoint enumeration""]","[""Port 135 exposed directly to the internet""]","[""Alert on any inbound RPC endpoint-mapper traffic from external IPs""]","[""Block port 135 at the perimeter firewall"", ""Restrict RPC/DCOM to internal networks only""]","[{""source"": ""MITRE ATT&CK"", ""url"": ""https://attack.mitre.org/techniques/T1046/""}, {""source"": ""MITRE ATT&CK"", ""url"": ""https://attack.mitre.org/techniques/T1021/003/""}, {""source"": ""IANA Service Name and Transport Protocol Port Number Registry"", ""url"": ""https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xhtml""}]","[""legacy"", ""legacy-rpc"", ""rpc"", ""windows""]","{""created_by"": ""CyberEDT"", ""dataset"": ""EME"", ""verified"": true, ""version"": ""1.0""}",135/tcp,"[""Microsoft RPC/DCOM stack""]",[]
EME-NET-021,Microsoft SQL Server,Database,Relational database engine; a high-value target given the sensitive data databases typically hold. Standard port(s): 1433/tcp. Common implementations: Microsoft SQL Server.,Relational database engine; a high-value target given the sensitive data databases typically hold.,Direct access to business data; weak 'sa' credentials or xp_cmdshell abuse can lead to full host compromise.,Critical,"Direct path to full host/data compromise, ransomware deployment, or regulatory-scope data breach if exploited.",90,79,critical,"{""tactics"": [""Credential Access"", ""Initial Access"", ""Persistence""], ""techniques"": [{""id"": ""T1190"", ""name"": ""Exploit Public-Facing Application""}, {""id"": ""T1110"", ""name"": ""Brute Force""}, {""id"": ""T1505.001"", ""name"": ""Server Software Component: SQL Stored Procedures""}]}","[""Brute-forcing the 'sa'/default admin account"", ""Abuse of xp_cmdshell for OS command execution post-auth"", ""Exploitation of known unpatched SQL Server vulnerabilities""]","[""Banner/version fingerprinting via TDS handshake"", ""SQL Server Browser (UDP 1434) instance discovery""]","[""Database directly reachable from the internet"", ""Default/weak 'sa' password"", ""xp_cmdshell enabled unnecessarily""]","[""Alert on any inbound connections to 1433 from the internet"", ""Monitor for repeated failed authentication"", ""Audit xp_cmdshell usage""]","[""Never expose SQL Server directly to the internet; require VPN"", ""Disable xp_cmdshell if unused"", ""Enforce strong, unique credentials"", ""Patch promptly""]","[{""source"": ""MITRE ATT&CK"", ""url"": ""https://attack.mitre.org/techniques/T1190/""}, {""source"": ""MITRE ATT&CK"", ""url"": ""https://attack.mitre.org/techniques/T1110/""}, {""source"": ""MITRE ATT&CK"", ""url"": ""https://attack.mitre.org/techniques/T1505/001/""}, {""source"": ""IANA Service Name and Transport Protocol Port Number Registry"", ""url"": ""https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xhtml""}]","[""database"", ""windows""]","{""created_by"": ""CyberEDT"", ""dataset"": ""EME"", ""verified"": true, ""version"": ""1.0""}",1433/tcp,"[""Microsoft SQL Server""]",[]
EME-NET-022,Oracle Database (TNS Listener),Database,Oracle's TNS Listener brokers connections to the database engine. Standard port(s): 1521/tcp. Common implementations: Oracle Database.,Oracle's TNS Listener brokers connections to the database engine.,"TNS poisoning and listener misconfiguration can allow unauthenticated access, DoS, or credential interception.",High,"Meaningful risk of credential theft, data exposure, or lateral movement if exploited or left misconfigured.",72,79,high,"{""tactics"": [""Credential Access"", ""Initial Access""], ""techniques"": [{""id"": ""T1190"", ""name"": ""Exploit Public-Facing Application""}, {""id"": ""T1110"", ""name"": ""Brute Force""}]}","[""TNS listener poisoning"", ""Brute-forcing SID names and credentials"", ""Exploitation of known unpatched Oracle CVEs""]","[""TNS listener version/SID enumeration (`tnscmd`)""]","[""Listener exposed to the internet without a password"", ""Default SIDs and credentials left unchanged""]","[""Alert on inbound connections to 1521 from external sources"", ""Monitor listener logs for enumeration attempts""]","[""Set a listener password"", ""Never expose the database directly to the internet"", ""Patch on Oracle's Critical Patch Update cycle""]","[{""source"": ""MITRE ATT&CK"", ""url"": ""https://attack.mitre.org/techniques/T1190/""}, {""source"": ""MITRE ATT&CK"", ""url"": ""https://attack.mitre.org/techniques/T1110/""}, {""source"": ""IANA Service Name and Transport Protocol Port Number Registry"", ""url"": ""https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xhtml""}]","[""database""]","{""created_by"": ""CyberEDT"", ""dataset"": ""EME"", ""verified"": true, ""version"": ""1.0""}",1521/tcp,"[""Oracle Database""]",[]
EME-NET-023,PPTP VPN,Remote Access,"Legacy VPN protocol with well-documented, fundamentally broken cryptography (MS-CHAPv2). Standard port(s): 1723/tcp. Common implementations: Microsoft PPTP VPN server, various router VPN implementations.","Legacy VPN protocol with well-documented, fundamentally broken cryptography (MS-CHAPv2).","MS-CHAPv2 authentication can be cracked, effectively defeating the VPN's confidentiality entirely.",Critical,"Direct path to full host/data compromise, ransomware deployment, or regulatory-scope data breach if exploited.",90,76,critical,"{""tactics"": [""Credential Access""], ""techniques"": [{""id"": ""T1040"", ""name"": ""Network Sniffing""}, {""id"": ""T1110"", ""name"": ""Brute Force""}]}","[""Cracking MS-CHAPv2 authentication to recover credentials/decrypt traffic"", ""Brute-forcing VPN credentials""]","[""Banner/protocol fingerprinting""]","[""PPTP still in production use instead of a modern VPN protocol (IPsec/IKEv2, WireGuard, OpenVPN)""]","[""Flag any PPTP traffic as a legacy-protocol finding""]","[""Retire PPTP entirely; migrate to IKEv2/IPsec, WireGuard, or OpenVPN""]","[{""source"": ""MITRE ATT&CK"", ""url"": ""https://attack.mitre.org/techniques/T1040/""}, {""source"": ""MITRE ATT&CK"", ""url"": ""https://attack.mitre.org/techniques/T1110/""}, {""source"": ""IANA Service Name and Transport Protocol Port Number Registry"", ""url"": ""https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xhtml""}]","[""broken-crypto"", ""legacy"", ""remote-access"", ""vpn""]","{""created_by"": ""CyberEDT"", ""dataset"": ""EME"", ""verified"": true, ""version"": ""1.0""}",1723/tcp,"[""Microsoft PPTP VPN server"", ""various router VPN implementations""]",[]
EME-NET-024,NFS (Network File System),File Sharing,"Unix/Linux network file sharing protocol, often relying on host-based rather than user-based authentication. Standard port(s): 2049/tcp,udp. Common implementations: Linux/Unix NFS server.","Unix/Linux network file sharing protocol, often relying on host-based rather than user-based authentication.",Misconfigured exports can expose entire filesystems for reading and writing with no real authentication.,High,"Meaningful risk of credential theft, data exposure, or lateral movement if exploited or left misconfigured.",72,79,high,"{""tactics"": [""Discovery""], ""techniques"": [{""id"": ""T1135"", ""name"": ""Network Share Discovery""}, {""id"": ""T1046"", ""name"": ""Network Service Discovery""}]}","[""Mounting exported shares with no_root_squash to gain root-equivalent file access"", ""Reading exported filesystems containing sensitive data"", ""Writing malicious files (e.g. SSH keys, cron jobs) into exported paths""]","[""`showmount -e` to list exports""]","[""Exports allowing access from 'any' host"", ""`no_root_squash` enabled"", ""NFS reachable from the internet instead of internal-only""]","[""Alert on inbound NFS connections from external networks"", ""Monitor mount requests against exported paths""]","[""Restrict exports to specific trusted hosts"", ""Enable root_squash"", ""Never expose NFS to the internet""]","[{""source"": ""MITRE ATT&CK"", ""url"": ""https://attack.mitre.org/techniques/T1135/""}, {""source"": ""MITRE ATT&CK"", ""url"": ""https://attack.mitre.org/techniques/T1046/""}, {""source"": ""IANA Service Name and Transport Protocol Port Number Registry"", ""url"": ""https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xhtml""}]","[""file-sharing"", ""unix""]","{""created_by"": ""CyberEDT"", ""dataset"": ""EME"", ""verified"": true, ""version"": ""1.0""}","2049/tcp,udp","[""Linux/Unix NFS server""]",[]
EME-NET-025,Docker Remote API,Container/Orchestration,"Remote management API for the Docker daemon; port 2375 is unauthenticated by default. Standard port(s): 2375/tcp (unencrypted), 2376/tcp (TLS). Common implementations: Docker Engine API.",Remote management API for the Docker daemon; port 2375 is unauthenticated by default.,Unauthenticated access to the Docker API is equivalent to root on the host — attackers routinely mount the host filesystem into a new container to gain full control.,Critical,"Direct path to full host/data compromise, ransomware deployment, or regulatory-scope data breach if exploited.",93,79,critical,"{""tactics"": [""Execution / Defense Evasion"", ""Impact"", ""Privilege Escalation""], ""techniques"": [{""id"": ""T1610"", ""name"": ""Deploy Container""}, {""id"": ""T1611"", ""name"": ""Escape to Host""}, {""id"": ""T1496"", ""name"": ""Resource Hijacking""}]}","[""Unauthenticated API access to launch privileged containers mounting the host filesystem"", ""Container image/command injection for host takeover"", ""Cryptomining payload deployment via exposed API""]","[""`docker -H host:2375 info`"", ""Direct REST calls to `/containers/json`, `/images/json`""]","[""Docker daemon exposed on 2375 without TLS/authentication"", ""No firewall restriction to the management network""]","[""Alert on any inbound connection to 2375/2376 from outside the management network"", ""Monitor for unexpected privileged container creation""]","[""Never expose the Docker API without TLS client-certificate authentication"", ""Restrict access to a management network/VPN only"", ""Disable the remote API if not required""]","[{""source"": ""MITRE ATT&CK"", ""url"": ""https://attack.mitre.org/techniques/T1610/""}, {""source"": ""MITRE ATT&CK"", ""url"": ""https://attack.mitre.org/techniques/T1611/""}, {""source"": ""MITRE ATT&CK"", ""url"": ""https://attack.mitre.org/techniques/T1496/""}, {""source"": ""IANA Service Name and Transport Protocol Port Number Registry"", ""url"": ""https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xhtml""}]","[""container"", ""container-orchestration"", ""critical-exposure"", ""unauthenticated""]","{""created_by"": ""CyberEDT"", ""dataset"": ""EME"", ""verified"": true, ""version"": ""1.0""}","2375/tcp (unencrypted), 2376/tcp (TLS)","[""Docker Engine API""]",[]
EME-NET-026,Apache ZooKeeper,Distributed Coordination,"Coordination service used by distributed systems (Kafka, Hadoop, etc.); has no authentication enabled by default. Standard port(s): 2181/tcp. Common implementations: Apache ZooKeeper.","Coordination service used by distributed systems (Kafka, Hadoop, etc.); has no authentication enabled by default.",Unauthenticated access can expose or let attackers tamper with the configuration/state of the systems ZooKeeper coordinates.,High,"Meaningful risk of credential theft, data exposure, or lateral movement if exploited or left misconfigured.",75,79,high,"{""tactics"": [""Discovery"", ""Impact""], ""techniques"": [{""id"": ""T1046"", ""name"": ""Network Service Discovery""}, {""id"": ""T1499"", ""name"": ""Endpoint Denial of Service""}]}","[""Unauthenticated four-letter-word (4lw) command abuse for reconnaissance"", ""Configuration tampering affecting dependent distributed systems"", ""DoS via exposed admin commands""]","[""4lw commands such as `stat`/`envi`/`conf` for version/config disclosure""]","[""ZooKeeper exposed to the internet with no authentication (ACLs) configured""]","[""Alert on external connections to 2181"", ""Monitor for 4lw command usage from unexpected sources""]","[""Restrict ZooKeeper to internal networks only"", ""Enable ZooKeeper ACLs/authentication"", ""Disable unneeded 4lw commands""]","[{""source"": ""MITRE ATT&CK"", ""url"": ""https://attack.mitre.org/techniques/T1046/""}, {""source"": ""MITRE ATT&CK"", ""url"": ""https://attack.mitre.org/techniques/T1499/""}, {""source"": ""IANA Service Name and Transport Protocol Port Number Registry"", ""url"": ""https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xhtml""}]","[""distributed-coordination"", ""distributed-systems"", ""unauthenticated""]","{""created_by"": ""CyberEDT"", ""dataset"": ""EME"", ""verified"": true, ""version"": ""1.0""}",2181/tcp,"[""Apache ZooKeeper""]",[]
